time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-10T20:18:56.890Z,43.6386,-105.2419,0,3.2,ml,,123,0.996,0.75,us,us20004zd1,2016-04-19T01:33:28.040Z,"Wyoming",mining explosion,3.2,2,0.059,38,reviewed,us,us
2016-02-08T20:20:44.850Z,43.6825,-105.1803,0,3.6,ml,,118,0.936,0.91,us,us20004ytz,2016-04-19T01:33:25.040Z,"Wyoming",mining explosion,3.8,2,0.051,50,reviewed,us,us
2016-02-06T19:11:50.940Z,43.7146,-105.2766,0,3.4,ml,,69,0.984,0.52,us,us20004ydm,2016-04-19T01:33:21.040Z,"Wyoming",mining explosion,6.6,2,0.056,54,reviewed,us,us
2016-02-02T21:12:21.250Z,43.7759,-105.2573,0,3.4,ml,,51,0.947,0.72,us,us20004y4e,2016-04-14T22:51:41.040Z,"Wyoming",mining explosion,5.4,2,0.055,56,reviewed,us,us
2016-01-31T21:16:32.770Z,43.8741,-105.4831,0,3.6,ml,,78,1.073,0.94,us,us20004w6z,2016-04-14T22:51:37.040Z,"Wyoming",mining explosion,4,2,0.055,44,reviewed,us,us
2016-01-27T19:11:40.910Z,44.0455,-105.3282,0,3.5,ml,,75,0.934,0.5,us,us20004v4p,2016-04-08T23:06:18.040Z,"Wyoming",mining explosion,3.6,2,0.048,56,reviewed,us,us
2016-01-25T18:31:17.470Z,43.5986,-105.2849,0,3.4,ml,,58,1.043,0.57,us,us10004h4j,2016-04-08T23:06:15.040Z,"Wyoming",mining explosion,6.5,2,0.056,42,reviewed,us,us
2016-01-24T18:08:18.320Z,44.0145,-105.3135,0,3.2,ml,,58,0.927,0.79,us,us10004gv8,2016-04-08T23:06:13.040Z,"Wyoming",mining explosion,3.2,2,0.057,40,reviewed,us,us
2016-01-22T21:01:52.440Z,43.7583,-105.3084,0,3.6,ml,,33,0.988,0.88,us,us10004ghg,2016-04-08T23:06:09.040Z,"Wyoming",mining explosion,6,2,0.045,66,reviewed,us,us
2016-01-21T20:08:48.710Z,43.6413,-105.3012,0,3.6,ml,,51,1.033,0.5,us,us10004g64,2016-04-06T17:30:30.040Z,"Wyoming",mining explosion,5.8,2,0.05,52,reviewed,us,us
2016-01-15T20:54:41.810Z,43.5529,-105.308,0,3.3,ml,,78,1.081,1.31,us,us10004eyw,2016-04-06T17:30:21.040Z,"Wyoming",mining explosion,7.4,2,0.047,60,reviewed,us,us
2016-01-12T19:03:49.140Z,43.6449,-105.2388,0,3.4,ml,,56,0.991,1.07,us,us10004dt4,2016-03-30T02:27:57.040Z,"Wyoming",mining explosion,3.9,1.7,0.045,64,reviewed,us,us
2016-01-09T21:40:46.720Z,43.703,-105.2743,0,3,ml,,51,0.987,0.43,us,us10004d6w,2016-03-30T02:27:51.040Z,"Wyoming",mining explosion,5.6,2,0.055,56,reviewed,us,us
2016-01-07T16:25:39.010Z,43.5803,-105.25,0,3.2,ml,,40,1.031,0.64,us,us10004e5f,2016-03-28T22:09:45.040Z,"Wyoming",mining explosion,5.8,2,0.051,50,reviewed,us,us
2016-01-02T21:03:21.510Z,43.7625,-105.2862,0,3.1,ml,,51,0.971,0.59,us,us10004awz,2016-03-28T22:09:33.040Z,"Wyoming",mining explosion,4.6,2,0.056,54,reviewed,us,us
2016-01-02T16:13:22.140Z,43.7007,-105.2791,0,3.1,ml,,73,0.992,0.3,us,us10004aw9,2016-03-28T22:09:33.040Z,"Wyoming",mining explosion,5,2,0.06,36,reviewed,us,us
2016-01-01T17:18:41.930Z,43.4932,-105.158,0,3.4,ml,,40,1.026,1.36,us,us10004ddc,2016-03-28T22:09:32.040Z,"Wyoming",mining explosion,2.6,2,0.045,66,reviewed,us,us
2015-12-31T23:15:05.880Z,43.6586,-105.4361,0,3.2,ml,,75,1.112,1.41,us,us10004bv5,2016-03-18T01:13:10.040Z,"Wyoming",mining explosion,6.9,2,0.051,51,reviewed,us,us
2015-12-29T20:26:16.350Z,43.5577,-105.2007,0,3.6,ml,,29,1.013,0.87,us,us10004brk,2016-03-18T01:13:07.040Z,"Wyoming",mining explosion,3.9,1.7,0.046,62,reviewed,us,us
